,Year,Time from Start to Finish (seconds),Q1,Q2,Q2_OTHER_TEXT,Q9_Part_1,Q9_Part_2,Q9_Part_3,Q9_Part_4,Q9_Part_5,Q9_Part_6,Q9_Part_7,Q9_Part_8,Q9_OTHER_TEXT,Q10,Q11
1,2019,510,22-24,Male,-1,,,,,,,,,-1,"30,000-39,999",$0 (USD)
2,2019,423,40-44,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,-1,"5,000-7,499","> $100,000 ($USD)"
3,2019,83,55-59,Female,-1,,,,,,,,,-1,,
4,2019,391,40-44,Male,-1,,,,,,,,,-1,"250,000-299,999","$10,000-$99,999"
5,2019,392,22-24,Male,-1,,,,,,,,,-1,"4,000-4,999",$0 (USD)
6,2019,470,50-54,Male,-1,,,Build prototypes to explore applying machine learning to new areas,,,Do research that advances the state of the art of machine learning,,,-1,"60,000-69,999","$10,000-$99,999"
7,2019,529,22-24,Male,-1,Analyze and understand data to influence product or business decisions,,,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"10,000-14,999",$100-$999
8,2019,624,22-24,Female,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,-1,"80,000-89,999",$0 (USD)
9,2019,214,22-24,Male,-1,,,,,,,,,-1,,
10,2019,691,55-59,Male,-1,,,,,,,,Other,0,$0-999,$100-$999
11,2019,290,18-21,Male,-1,,,,,,,,,-1,,
12,2019,459,30-34,Male,-1,Analyze and understand data to influence product or business decisions,,,,,,,,-1,"2,000-2,999","$1000-$9,999"
13,2019,397,30-34,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,-1,"70,000-79,999","$1000-$9,999"
14,2019,372,30-34,Male,-1,,,,,,,,,-1,"90,000-99,999",$0 (USD)
15,2019,524,25-29,Male,-1,,,,,,,,,-1,,
16,2019,485,50-54,Female,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,-1,"125,000-149,999","> $100,000 ($USD)"
17,2019,426,18-21,Male,-1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,-1,$0-999,$100-$999
18,2019,420,18-21,Male,-1,,,,,,,,,-1,,
19,2019,756,35-39,Male,-1,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,-1,$0-999,"> $100,000 ($USD)"
20,2019,368,25-29,Male,-1,,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,-1,"40,000-49,999",$0 (USD)
